organisateur,etat_dossier,description_projet,zone_geo_projet,id_action,nom,description_action,lien_programme,est_dematerialisee,adresse,nom_commune,nom_departement,insee_dep,date_debut,date_fin,type_action_str,est_grand_public,public_cible_str,risque_cible_str,est_atelier_jeux,est_atelier_sensibilisation,est_conference,est_exercice_de_gestion_de_crise,est_exposition,est_formation,est_reunion_d_information,est_spectacle,est_visite_en_plein_air,est_visite_en_interieur,est_autre,est_tous_public,est_famille,est_jeune_public,est_seniors,est_risques_naturels,est_risques_technologiques,est_inondations,est_feux_de_foret,est_tempete_cyclone,est_seisme,est_eruption_volcanique,est_mouvement_de_terrain,est_risques_littoraux,est_avalanche,est_radon,est_accidents_industriels,est_accidents_nucleaires,est_rupture_de_barrage,est_transport_de_matieres_dangereuses,lat,lon
Communauté d'agglomération Saumur Val de Loire,accepte,"Dans le cadre du Programme d’Actions de Prévention des Inondations des Vals d’Authion et de Loire (PAPI), la CASVL s’est engagée à réaliser des journées de sensibilisation au risque inondation. Pour l'année 2023, cette action s'inscrit aussi dans le cadre de la journée nationale de la résilience et de la fête de la science. Il est prévu une programmation en trois temps :      • Le vendredi 13 octobre de 18h30 à 20h30 spectacle et débat au PAMA d’Allonnes ;     • Le samedi 14 octobre à 10h30 et 14h à Saumur Balade Urbaine autour du risque inondation ;     • Une quinzaine de jours avant ""land-art"" : Marquage des hauteurs d’eau atteintes ou modélisées sur les arbres à Allonnes (en partenariat avec le centre aéré); ",49-MAINE-ET-LOIRE,12975331_C_1,Spectacle de théâtre et débat autour du risque inondation,"La compagnie Acaly propose un spectacle autour du risque inondation intitulé ""Les pieds dans l'eau"". Ce spectacle est à destination du grand public à partir de 10 ans avec le descriptif suivant : Suite à une inondation, Mike doit évacuer son logement et se réfugier chez son vieux copain Jeff. Les deux amis redeviennent coloc's le temps d'une soirée, comme au bon vieux temps. Mike est déboussolé, mais Jeff ne parvient pas à prendre la situation au sérieux. Petit à petit, grâce à Sherka, une intelligence artificielle qui répond aux questions aussi bien qu'elle prépare le café et déverrouille les portes, Mike et Jeff vont comprendre la situation et apprendre les bons réflexes si une telle catastrophe venait à se reproduire. À la suite du spectacle, nous proposons un débat animé par le CPIE de Picardie (qui est le propriétaire du spectacle « Les pieds dans l’eau ») et de l’Établissement Public Loire.",,False,Rue du Lavoir 49650 Allonnes,Allonnes,Maine-et-Loire,49,2023-09-27,2023-11-01,Atelier sensibilisation,True,Tous public,Inondations,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,47.29395,0.0256636
Communauté d'agglomération Saumur Val de Loire,accepte,"Dans le cadre du Programme d’Actions de Prévention des Inondations des Vals d’Authion et de Loire (PAPI), la CASVL s’est engagée à réaliser des journées de sensibilisation au risque inondation. Pour l'année 2023, cette action s'inscrit aussi dans le cadre de la journée nationale de la résilience et de la fête de la science. Il est prévu une programmation en trois temps :      • Le vendredi 13 octobre de 18h30 à 20h30 spectacle et débat au PAMA d’Allonnes ;     • Le samedi 14 octobre à 10h30 et 14h à Saumur Balade Urbaine autour du risque inondation ;     • Une quinzaine de jours avant ""land-art"" : Marquage des hauteurs d’eau atteintes ou modélisées sur les arbres à Allonnes (en partenariat avec le centre aéré); ",49-MAINE-ET-LOIRE,12975331_C_2,Spectacle de théâtre et débat autour du risque inondation,"La compagnie Acaly propose un spectacle autour du risque inondation intitulé ""Les pieds dans l'eau"". Ce spectacle est à destination du grand public à partir de 10 ans avec le descriptif suivant : Suite à une inondation, Mike doit évacuer son logement et se réfugier chez son vieux copain Jeff. Les deux amis redeviennent coloc's le temps d'une soirée, comme au bon vieux temps. Mike est déboussolé, mais Jeff ne parvient pas à prendre la situation au sérieux. Petit à petit, grâce à Sherka, une intelligence artificielle qui répond aux questions aussi bien qu'elle prépare le café et déverrouille les portes, Mike et Jeff vont comprendre la situation et apprendre les bons réflexes si une telle catastrophe venait à se reproduire. À la suite du spectacle, nous proposons un débat animé par le CPIE de Picardie (qui est le propriétaire du spectacle « Les pieds dans l’eau ») et de l’Établissement Public Loire.",,False,Place de la Bilange 49400 Saumur,Saumur,Maine-et-Loire,49,2023-09-27,2023-11-01,Atelier sensibilisation,True,Tous public,Inondations,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,47.2612384,-0.0767866
Association Française pour la Prévention des Catastrophes Naturelles et Technologiques ,accepte,"L'AFPCNT et la commune de Pointe-Noire souhaitent organiser deux journées de sensibilisation multirisques à destination du public scolaire, des agents communaux et du grand public. La première journée serait dédiée au public scolaire en partenariat avec l'école mixte 1 de Guyonneau. Elle serait ponctuée par un exercice d'évacuation tsunami avec un scenario précis et par des animations ludiques (stands, simulateurs, etc.). La deuxième journée serait ouverte au grand public (familles) avec des animations portant sur plusieurs risques majeurs : stands, simulateurs, kits de secours, présentation de la réserve communale de sécurité civile,. ",971-GUADELOUPE,13169760_A_1,Journées de sensibilisation multirisques,"L'AFPCNT et la commune de Pointe-Noire souhaitent organiser deux journées de sensibilisation multirisques à destination du public scolaire, des agents communaux et du grand public. La première journée serait dédiée au public scolaire en partenariat avec l'école mixte 1 de Guyonneau. Elle serait ponctuée par un exercice d'évacuation tsunami avec un scenario précis et par des animations ludiques (stands, simulateurs, etc.). La deuxième journée serait ouverte au grand public (familles) avec des animations portant sur plusieurs risques majeurs : stands, simulateurs, kits de secours, présentation de la réserve communale de sécurité civile,. ",,False,"Ecole Mixte 1, Guyonneau 97116 Pointe-Noire",Pointe-Noire,Guadeloupe,971,2023-10-20,2023-10-21,"Atelier sensibilisation, Exercice de gestion de crise",True,Tous publics,"Inondations, Séisme, Tempête/cyclone, Risques littoraux",False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,
Observatoire Volcanologique et Sismologique de Guadeloupe - Institut de physique du globe de Paris,accepte,"L’observatoire sera ouvert aux visiteurs le jeudi 12 octobre 2023. Le réseau instrumental de l’observatoire sera présenté, ainsi qu’un bilan de l’activité volcanique et sismique récente.  Visite limitée à 30 personnes le matin (9H00 - 12H00) et 30 personnes l’après-midi (14H00-17H00). Inscription obligatoire sur le lien :  https://evento.renater.fr/survey/visite-de-l-observatoire-volcanologique-et-sismologique-de-guadeloupe-jeudi-12-octobre-2023-dpwmoai4  ou par email à : defferrard@ipgp.fr",971-GUADELOUPE,13173085_A_1,Visite de l'Observatoire volcanologique et sismologique de Guadeloupe (OVSG),"Visite de l'OVSG par petits groupes de 10-15 personnes (sur inscription). La visite comprendra la découverte des différentes parties de l'observatoire, ainsi qu'une présentation sur écran. Le réseau instrumental de l’observatoire sera présenté, ainsi qu’un bilan de l’activité volcanique et sismique récente.",,False,Observatoire Volcanologique et Sismologique de Guadeloupe  Institut de Physique du Globe de Paris  97113 Gourbeyre - Le Houelmont - Guadeloupe,Gourbeyre,Guadeloupe,971,2023-10-12,2023-10-12,Visite en intérieur,True,Tous publics,"Séisme, Éruption volcanique",False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,
Ville de Pélissanne,accepte,"Manifestation de plein air avec stand pompiers, gendarmerie, menelick, securité civile etsdis afin d'informer sur les risques",13-BOUCHES-DU-RHONE,13274397_A_1,Journée résilience,"Forum à destination des écoles et du grand public afin de sensibiliser sur les risques connus qui touchent Pélissanne : incendie, inondation, séismes et mouvements de sol.",,False,Parc Roux de Brignoles 13330 Pélissanne,Pélissanne,Bouches-du-Rhône,13,2023-10-13,2023-10-13,Atelier sensibilisation,True,Tous publics,"Inondations, Feux de forêt, Séisme, Mouvement de terrain",False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,43.6310748,5.152878463230569
CCAS DE SCHOELCHER,accepte,Tout individu a droit à la vie à la liberté et à la sécurité de sa personne » Article 3 de la déclaration des Droits de l’Homme. L'objectif est de sensibiliser aux gestes qui sauvent pour la reconnaissance immédiate sans délai des gestes adéquats avant l'arrivée des secours spécialisés,972-MARTINIQUE,13288729_A_1,PRÉPARATION GRAND PUBLIC AUX GESTES QUI SAUVENT,"Il s’agit  de renforcer le 1er maillon de la chaîne des secours. le CCAS souhaite former des citoyens de sa réserve communale de sentinelle : développement d’un comportement citoyen (obligation de porter assistance à personne en danger), éducation à la solidarité, et à la prévention des risques (PPMS). Projet fédérateur interdisciplinaire s’inscrivant complètement dans le projet social du territoire.",,False,SITE DE LA VILLE DE CHOELCHER,Schœlcher,Martinique,972,2023-10-02,2023-10-07,"Formation, Atelier Jeux, Conférence, Atelier sensibilisation",True,Tous publics,"Tempête/cyclone, Séisme, Risques littoraux, Éruption volcanique, Inondations, Mouvement de terrain",True,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,,
REGNIER Marie-Laure,accepte,"Ateliers de 3h, de 6 à 12 personnes, pour prendre conscience des impacts locaux / risques du changement climatique et expérimenter une approche collective pour s’y préparer et réduire l’exposition et la vulnérabilité. A minima 1 atelier inter-collectivités et 1 atelier inter-entreprises. Le label et les éventuelles subventions permettraient des ateliers additionnels plus locaux (niveau sous-préfecture et antennes des CCI). En pièce jointe, une plaquette détaillant  le contenu de l’atelier. ",35-ILLE-ET-VILAINE,13160430_A_1,Atelier de l'Adaptation au Changement Climatique,"L’atelier explore d’abord la notion centrale de risque, présente les aléas climatiques et identifie les leviers d’action pour réduire les impacts. Puis il donne les clefs pour évaluer les options d’adaptation, éviter les maladaptations et chercher les co-bénéfices. Enfin un exercice d’arbitrage entre les différentes options est proposé, avec une mise en perspective du court et du long terme.  Les participants travaillent toujours sur des exemples concrets qu’ils enrichissent au fur et à mesure.",www.ateliers-adaptationclimat.fr 	,False,"Lieu encore à définir - potentiellement dans un espace de co-working à Rennes, ou à la Maison des Associations, ou en coopération avec l'ALEC ou la métropole de Rennes. ",Rennes,Ille-et-Vilaine,35,2023-10-01,2023-10-31,"Atelier sensibilisation, Formation",False,"Elu, Autres","Inondations, Feux de forêt, Tempête/cyclone, Risques littoraux, Mouvement de terrain",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,,
REGNIER Marie-Laure,accepte,"Ateliers de 3h, de 6 à 12 personnes, pour prendre conscience des impacts locaux / risques du changement climatique et expérimenter une approche collective pour s’y préparer et réduire l’exposition et la vulnérabilité. A minima 1 atelier inter-collectivités et 1 atelier inter-entreprises. Le label et les éventuelles subventions permettraient des ateliers additionnels plus locaux (niveau sous-préfecture et antennes des CCI). En pièce jointe, une plaquette détaillant  le contenu de l’atelier. ",35-ILLE-ET-VILAINE,13160430_A_2,Atelier de l'Adaptation au Changement Climatique,"L’atelier explore d’abord la notion centrale de risque, présente les aléas climatiques et identifie les leviers d’action pour réduire les impacts. Puis il donne les clefs pour évaluer les options d’adaptation, éviter les maladaptations et chercher les co-bénéfices. Enfin un exercice d’arbitrage entre les différentes options est proposé, avec une mise en perspective du court et du long terme.  Les participants travaillent toujours sur des exemples concrets qu’ils enrichissent au fur et à mesure.",www.ateliers-adaptationclimat.fr,False,"Lieu encore à définir - potentiellement dans un espace de co-working à Rennes, ou à la Maison des Associations, ou en coopération avec l'ALEC ou la métropole de Rennes. ",Rennes,Ille-et-Vilaine,35,2023-10-01,2023-10-31,"Atelier sensibilisation, Formation",False,Salarié,"Inondations, Feux de forêt, Tempête/cyclone, Risques littoraux, Mouvement de terrain",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,,
Préfecture de l'Hérault,accepte,L’objectif de cet exercice est de tester la coordination interservices suite à l’arrivée d’un tsunami sur les côtes du département de l’Hérault. Cet exercice permettra également de déclencher l’outil FR-Alert pour la première fois dans le département de l’Hérault et d’acculturer la population à ce nouveau système d’alerte. Les services de l’État travaillent en collaboration avec Johnny Douvinet (Université d’Avignon) et Matthieu Péroche (Université de Montpellier) pour une prise en main optimale de ce logiciel et une compréhension fine du risque tsunami. La commune de Frontignan a été choisie par la préfecture afin de réaliser cet exercice.,34-HERAULT,13338378_A_1,Exercice de crise : alerte tsunami via Fr-Alert sur la commune de Frontignan,L’objectif de cet exercice est de tester la coordination interservices suite à l’arrivée d’un tsunami sur les côtes du département de l’Hérault. Cet exercice permettra également de déclencher l’outil FR-Alert pour la première fois dans le département de l’Hérault et d’acculturer la population à ce nouveau système d’alerte. Les services de l’État travaillent en collaboration avec Johnny Douvinet (Université d’Avignon) et Matthieu Péroche (Université de Montpellier) pour une prise en main optimale de ce logiciel et une compréhension fine du risque tsunami. La commune de Frontignan a été choisie par la préfecture afin de réaliser cet exercice.,,False,Frontignan,Frontignan,Hérault,34,2023-10-13,2023-10-13,Exercice de gestion de crise,True,Tous publics,Risques littoraux,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,43.4448978,3.7589574
Service d'incendie et de secours,accepte,"plateau de jeu interactif (support dématérialisé ou physique) destiné à faire connaitre au grand public les risques naturels, technologiques, attentats du département de la Charente-Maritime. Le jeu présente l'organisation des secours  en fonction des risques et les comportements à adopter par la population.",17-CHARENTE-MARITIME,13359003_A_1,séance de jeu,mise en oeuvre du plateau de jeu avec le public,https://www.sdis17.fr/,True,,,,,2023-10-09,2023-10-13,Atelier Jeux,True,Tous publics,"Inondations, Feux de forêt, Séisme, Mouvement de terrain, Risques littoraux, Inondations, Feux de forêt, Séisme, Mouvement de terrain, Risques littoraux",True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,,
